productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extAspect,extCardType,extTraits,extCost,extPower,extHP,extArenaType,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
542159,General Dodonna - Massassi Group Commander,General Dodonna Massassi Group Commander,https://tcgplayer-cdn.tcgplayer.com/product/542159_200w.jpg,79,23451,https://cpt.tcgcsv.com/cTl6,2024-03-08T05:03:37.01,1,Rare,19/20,Other friendly Rebel units get +1/+1.,Heroism,Unit,Official;Rebel,4,4,4,Ground,0.75,1.23,10.0,0.94,,Normal
542160,Bossk - Deadly Stalker,Bossk Deadly Stalker,https://tcgplayer-cdn.tcgplayer.com/product/542160_200w.jpg,79,23451,https://cpt.tcgcsv.com/dTl6,2024-03-08T05:03:37.01,1,Rare,15/20,<strong>Ambush</strong><br><strong>When you play an event:</strong> You may deal 2 damage to a unit.,Cunning;Villainy,Unit,Bounty Hunter;Underworld,5,4,5,Ground,1.27,2.5,12.22,2.02,,Normal
542160,Bossk - Deadly Stalker,Bossk Deadly Stalker,https://tcgplayer-cdn.tcgplayer.com/product/542160_200w.jpg,79,23451,https://cpt.tcgcsv.com/dTl6,2024-03-08T05:03:37.01,1,Rare,15/20,<strong>Ambush</strong><br><strong>When you play an event:</strong> You may deal 2 damage to a unit.,Cunning;Villainy,Unit,Bounty Hunter;Underworld,5,4,5,Ground,2.23,3.85,26.99,3.02,,Foil
542161,Death Star Stormtrooper,Death Star Stormtrooper,https://tcgplayer-cdn.tcgplayer.com/product/542161_200w.jpg,79,23451,https://cpt.tcgcsv.com/fTl6,2024-03-08T05:03:37.01,1,Rare,13/20,,Aggression;Villainy,Unit,Imperial;Trooper,1,3,1,Ground,1.24,1.99,19.99,1.61,,Normal
542161,Death Star Stormtrooper,Death Star Stormtrooper,https://tcgplayer-cdn.tcgplayer.com/product/542161_200w.jpg,79,23451,https://cpt.tcgcsv.com/fTl6,2024-03-08T05:03:37.01,1,Rare,13/20,,Aggression;Villainy,Unit,Imperial;Trooper,1,3,1,Ground,3.5,5.33,74.0,4.52,,Foil
542162,Leia Organa - Defiant Princess (Hyperspace),Leia Organa Defiant Princess Hyperspace,https://tcgplayer-cdn.tcgplayer.com/product/542162_200w.jpg,79,23451,https://cpt.tcgcsv.com/gTl6,2024-04-04T16:02:17.583,1,Common,11/20,<strong>When Played:</strong> Either ready a resource or exhaust a unit.,Cunning;Heroism,Unit,Official;Rebel,2,2,2,Ground,0.23,1.0,11.5,0.57,,Normal
542163,I Am Your Father (Hyperspace),I Am Your Father Hyperspace,https://tcgplayer-cdn.tcgplayer.com/product/542163_200w.jpg,79,23451,https://cpt.tcgcsv.com/hTl6,2024-03-08T05:03:37.01,1,Common,05/20,"Deal 7 damage to an enemy unit unless its controller says ""no."" If they do, draw 3 cards.",Villainy,Event,Gambit,3,,,,0.24,0.75,13.49,0.46,,Normal
542164,Vader's Lightsaber (Hyperspace),Vaders Lightsaber Hyperspace,https://tcgplayer-cdn.tcgplayer.com/product/542164_200w.jpg,79,23451,https://cpt.tcgcsv.com/jTl6,2024-03-08T05:03:37.01,1,Common,04/20,"Attach to a non-Vehicle unit.<strong>When Played:</strong> If attached unit is Darth Vader, you may deal 4 damage to a ground unit.",Aggression;Villainy,Upgrade,Item;Lightsaber;Weapon,2,3,1,,0.15,0.5,9.99,0.41,,Normal
542165,Waylay,Waylay,https://tcgplayer-cdn.tcgplayer.com/product/542165_200w.jpg,79,23451,https://cpt.tcgcsv.com/kTl6,2024-03-08T05:03:37.01,1,Common,03/20,Return a non-leader unit to its owner's hand.,Cunning,Event,Trick,03/20,,,,0.05,0.49,11.5,0.36,,Normal
542166,Green Squadron A-Wing,Green Squadron A Wing,https://tcgplayer-cdn.tcgplayer.com/product/542166_200w.jpg,79,23451,https://cpt.tcgcsv.com/lTl6,2024-03-08T05:03:37.01,1,Common,02/20,<strong>Raid 2</strong>,Aggression;Heroism,Unit,Fighter;Rebel;Vehicle,2,1,3,Space,0.05,0.49,11.5,0.3,,Normal
542168,Battlefield Marine,Battlefield Marine,https://tcgplayer-cdn.tcgplayer.com/product/542168_200w.jpg,79,23451,https://cpt.tcgcsv.com/nTl6,2024-03-08T05:03:37.01,1,Common,01/20,,Command;Heroism,Unit,Rebel;Trooper,2,3,3,Ground,0.05,0.4,4.99,0.24,,Normal
542257,Death Trooper,Death Trooper,https://tcgplayer-cdn.tcgplayer.com/product/542257_200w.jpg,79,23451,https://cpt.tcgcsv.com/9Wl6,2024-03-08T05:03:37.01,1,Rare,14/20,<strong>When Played:</strong> Deal 2 damage to a friendly ground unit and 2 damage to an enemy ground unit.,Vigilance;Villainy,Unit,Imperial;Trooper,3,3,3,Ground,1.25,3.0,12.21,2.33,,Foil
542257,Death Trooper,Death Trooper,https://tcgplayer-cdn.tcgplayer.com/product/542257_200w.jpg,79,23451,https://cpt.tcgcsv.com/9Wl6,2024-03-08T05:03:37.01,1,Rare,14/20,<strong>When Played:</strong> Deal 2 damage to a friendly ground unit and 2 damage to an enemy ground unit.,Vigilance;Villainy,Unit,Imperial;Trooper,3,3,3,Ground,0.4,1.16,11.5,0.91,,Normal
