productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extAspect,extCardType,extTraits,extCost,extPower,extHP,extArenaType,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
549505,Vigilant Pursuit Craft,Vigilant Pursuit Craft,https://tcgplayer-cdn.tcgplayer.com/product/549505_200w.jpg,79,23488,https://cpt.tcgcsv.com/7Qp6,2024-07-12T04:03:16.813,1,Common,065/262,"<strong>Sentinel</strong> <em>(Units in this arena can’t attack your non-Sentinel units or your base.)</em>
<br>
<strong>Smuggle</strong> [7 [Vigilance]] <em>(If this card is a resource, you may play it for its smuggle cost. Replace it with the top card of your deck.)</em>",Vigilance,Unit,Transport;Vehicle,5,3,5,Space,0.01,0.14,4.0,0.05,,Normal
549505,Vigilant Pursuit Craft,Vigilant Pursuit Craft,https://tcgplayer-cdn.tcgplayer.com/product/549505_200w.jpg,79,23488,https://cpt.tcgcsv.com/7Qp6,2024-07-12T04:03:16.813,1,Common,065/262,"<strong>Sentinel</strong> <em>(Units in this arena can’t attack your non-Sentinel units or your base.)</em>
<br>
<strong>Smuggle</strong> [7 [Vigilance]] <em>(If this card is a resource, you may play it for its smuggle cost. Replace it with the top card of your deck.)</em>",Vigilance,Unit,Transport;Vehicle,5,3,5,Space,0.01,0.25,11.5,0.13,,Foil
549506,Phase-III Dark Trooper,Phase III Dark Trooper,https://tcgplayer-cdn.tcgplayer.com/product/549506_200w.jpg,79,23488,https://cpt.tcgcsv.com/8Qp6,2024-07-12T04:03:16.813,1,Special,084/262,"<strong>Sentinel</strong> <em>(Units in this arena can’t attack your non-Sentinel units or your base.)</em>
<br>
<strong>When combat damage is dealt to this unit:</strong> Give an Experience token to this unit <em>(if it survives the damage).</em>",Command;Villainy,Unit,Droid;Imperial;Trooper,3,3,3,Ground,4.98,6.08,19.99,4.55,,Normal
549507,Crosshair - Following Orders,Crosshair Following Orders,https://tcgplayer-cdn.tcgplayer.com/product/549507_200w.jpg,79,23488,https://cpt.tcgcsv.com/9Qp6,2024-07-12T04:03:16.813,1,Uncommon,087/262,"<strong>Action [2]:</strong> This unit gets +1/+0 for this phase.
<br>
<strong>Action [T]:</strong> This unit deals damage equal to his power to an enemy ground unit.",Command;Villainy,Unit,Imperial;Trooper;Clone,4,2,6,Ground,0.11,0.25,10.0,0.18,,Normal
549507,Crosshair - Following Orders,Crosshair Following Orders,https://tcgplayer-cdn.tcgplayer.com/product/549507_200w.jpg,79,23488,https://cpt.tcgcsv.com/9Qp6,2024-07-12T04:03:16.813,1,Uncommon,087/262,"<strong>Action [2]:</strong> This unit gets +1/+0 for this phase.
<br>
<strong>Action [T]:</strong> This unit deals damage equal to his power to an enemy ground unit.",Command;Villainy,Unit,Imperial;Trooper;Clone,4,2,6,Ground,0.1,0.5,11.5,0.45,,Foil
549508,Pirate Battle Tank,Pirate Battle Tank,https://tcgplayer-cdn.tcgplayer.com/product/549508_200w.jpg,79,23488,https://cpt.tcgcsv.com/bQp6,2024-07-12T04:03:16.813,1,Common,089/262,"<strong>Sentinel</strong> <em>(Units in this arena can’t attack your non-Sentinel units or your base.)</em>

<strong>Smuggle</strong> [7 [Command] [Villainy]] <em>(If this card is a resource, you may play it for its smuggle cost. Replace it with the top card of your deck.)</em>",Command;Villainy,Unit,Tank;Underworld;Vehicle,6,4,6,Ground,0.01,0.13,4.0,0.06,,Normal
549508,Pirate Battle Tank,Pirate Battle Tank,https://tcgplayer-cdn.tcgplayer.com/product/549508_200w.jpg,79,23488,https://cpt.tcgcsv.com/bQp6,2024-07-12T04:03:16.813,1,Common,089/262,"<strong>Sentinel</strong> <em>(Units in this arena can’t attack your non-Sentinel units or your base.)</em>

<strong>Smuggle</strong> [7 [Command] [Villainy]] <em>(If this card is a resource, you may play it for its smuggle cost. Replace it with the top card of your deck.)</em>",Command;Villainy,Unit,Tank;Underworld;Vehicle,6,4,6,Ground,0.01,0.37,11.5,0.35,,Foil
549509,Clone Deserter,Clone Deserter,https://tcgplayer-cdn.tcgplayer.com/product/549509_200w.jpg,79,23488,https://cpt.tcgcsv.com/cQp6,2024-07-12T04:03:16.813,1,Common,095/262,"<strong>Restore 1<strong> <em>(When this unit attacks, heal 1 damage from your base.)</em>
<br>
<strong>Bounty</strong> — Draw a card. <em>(When this unit is defeated or captured, your opponent collects its bounty.)</em>",Command;Heroism,Unit,Fringe;Clone,1,2,3,Ground,0.01,0.15,4.0,0.09,,Normal
549509,Clone Deserter,Clone Deserter,https://tcgplayer-cdn.tcgplayer.com/product/549509_200w.jpg,79,23488,https://cpt.tcgcsv.com/cQp6,2024-07-12T04:03:16.813,1,Common,095/262,"<strong>Restore 1<strong> <em>(When this unit attacks, heal 1 damage from your base.)</em>
<br>
<strong>Bounty</strong> — Draw a card. <em>(When this unit is defeated or captured, your opponent collects its bounty.)</em>",Command;Heroism,Unit,Fringe;Clone,1,2,3,Ground,0.02,0.3,11.5,0.24,,Foil
549510,Echo - Restored,Echo Restored,https://tcgplayer-cdn.tcgplayer.com/product/549510_200w.jpg,79,23488,https://cpt.tcgcsv.com/dQp6,2024-07-12T04:03:16.813,1,Uncommon,099/262,"<strong>Restore 2</strong>
<br>
<strong>When Played:</strong> You may discard a card from your hand. Give 2 Experience tokens to a unit in play with the same name as the discarded card.",Command;Heroism,Unit,Fringe;Clone,4,4,4,Ground,0.15,0.6,11.5,0.56,,Foil
549510,Echo - Restored,Echo Restored,https://tcgplayer-cdn.tcgplayer.com/product/549510_200w.jpg,79,23488,https://cpt.tcgcsv.com/dQp6,2024-07-12T04:03:16.813,1,Uncommon,099/262,"<strong>Restore 2</strong>
<br>
<strong>When Played:</strong> You may discard a card from your hand. Give 2 Experience tokens to a unit in play with the same name as the discarded card.",Command;Heroism,Unit,Fringe;Clone,4,4,4,Ground,0.05,0.2,10.0,0.14,,Normal
549511,Privateer Crew,Privateer Crew,https://tcgplayer-cdn.tcgplayer.com/product/549511_200w.jpg,79,23488,https://cpt.tcgcsv.com/fQp6,2024-07-12T04:03:16.813,1,Uncommon,113/262,"<strong>Smuggle</strong> [6 [Command]] <em>(If this card is a resource, you may play it for its smuggle cost. Replace it with the top card of your deck.)</em>
<br>
<strong>When played using Smuggle:</strong> Give 3 Experience tokens to this unit.",Command,Unit,Underworld,2,2,2,Ground,0.09,0.25,11.5,0.18,,Foil
549511,Privateer Crew,Privateer Crew,https://tcgplayer-cdn.tcgplayer.com/product/549511_200w.jpg,79,23488,https://cpt.tcgcsv.com/fQp6,2024-07-12T04:03:16.813,1,Uncommon,113/262,"<strong>Smuggle</strong> [6 [Command]] <em>(If this card is a resource, you may play it for its smuggle cost. Replace it with the top card of your deck.)</em>
<br>
<strong>When played using Smuggle:</strong> Give 3 Experience tokens to this unit.",Command,Unit,Underworld,2,2,2,Ground,0.01,0.2,10.0,0.05,,Normal
549512,Reputable Hunter,Reputable Hunter,https://tcgplayer-cdn.tcgplayer.com/product/549512_200w.jpg,79,23488,https://cpt.tcgcsv.com/gQp6,2024-07-12T04:03:16.813,1,Common,117/262,"If an enemy unit has a <strong>Bounty</strong>, this unit costs 1 less to play.",Command,Unit,Bounty Hunter,3,3,4,Ground,0.01,0.22,2.69,0.08,,Foil
549512,Reputable Hunter,Reputable Hunter,https://tcgplayer-cdn.tcgplayer.com/product/549512_200w.jpg,79,23488,https://cpt.tcgcsv.com/gQp6,2024-07-12T04:03:16.813,1,Common,117/262,"If an enemy unit has a <strong>Bounty</strong>, this unit costs 1 less to play.",Command,Unit,Bounty Hunter,3,3,4,Ground,0.01,0.15,4.0,0.05,,Normal
549513,Timely Intervention,Timely Intervention,https://tcgplayer-cdn.tcgplayer.com/product/549513_200w.jpg,79,23488,https://cpt.tcgcsv.com/hQp6,2024-07-12T04:03:16.813,1,Common,129/262,"Play a unit from your hand. Give it <strong>Ambush</strong> for this phase. <em>(When you play it, it may ready and attack an enemy unit.)</em>

<strong>Smuggle [2 [Command]]</strong> <em>(If this card is a resource, you may play it for its smuggle cost. Replace it with the top card of your deck.)</em>",Command,Event,Tactic,1,,,,0.05,0.51,2.98,0.51,,Foil
549513,Timely Intervention,Timely Intervention,https://tcgplayer-cdn.tcgplayer.com/product/549513_200w.jpg,79,23488,https://cpt.tcgcsv.com/hQp6,2024-07-12T04:03:16.813,1,Common,129/262,"Play a unit from your hand. Give it <strong>Ambush</strong> for this phase. <em>(When you play it, it may ready and attack an enemy unit.)</em>

<strong>Smuggle [2 [Command]]</strong> <em>(If this card is a resource, you may play it for its smuggle cost. Replace it with the top card of your deck.)</em>",Command,Event,Tactic,1,,,,0.01,0.15,4.0,0.07,,Normal
549514,Take Captive,Take Captive,https://tcgplayer-cdn.tcgplayer.com/product/549514_200w.jpg,79,23488,https://cpt.tcgcsv.com/jQp6,2024-07-12T04:03:16.813,1,Common,131/262,A friendly unit captures an enemy non-leader unit in the same arena. <em>(Put the captured card facedown under that unit until that unit leaves play.)</em>,Command,Event,Tactic,3,,,,0.01,0.16,4.0,0.06,,Normal
549514,Take Captive,Take Captive,https://tcgplayer-cdn.tcgplayer.com/product/549514_200w.jpg,79,23488,https://cpt.tcgcsv.com/jQp6,2024-07-12T04:03:16.813,1,Common,131/262,A friendly unit captures an enemy non-leader unit in the same arena. <em>(Put the captured card facedown under that unit until that unit leaves play.)</em>,Command,Event,Tactic,3,,,,0.03,0.24,11.5,0.14,,Foil
549515,Death Watch Loyalist,Death Watch Loyalist,https://tcgplayer-cdn.tcgplayer.com/product/549515_200w.jpg,79,23488,https://cpt.tcgcsv.com/kQp6,2024-07-12T04:03:16.813,1,Common,136/262,"<strong>Grit</strong> <em>(This unit gets +1/+0 for each damage on it.)</em>
<br>
<strong>Overwhelm</strong> <em>(When attacking an enemy unit, deal excess damage to the opponent’s base.)</em>",Aggression;Villainy,Unit,Mandalorian;Trooper,3,3,3,Ground,0.05,0.25,11.5,0.2,,Foil
549515,Death Watch Loyalist,Death Watch Loyalist,https://tcgplayer-cdn.tcgplayer.com/product/549515_200w.jpg,79,23488,https://cpt.tcgcsv.com/kQp6,2024-07-12T04:03:16.813,1,Common,136/262,"<strong>Grit</strong> <em>(This unit gets +1/+0 for each damage on it.)</em>
<br>
<strong>Overwhelm</strong> <em>(When attacking an enemy unit, deal excess damage to the opponent’s base.)</em>",Aggression;Villainy,Unit,Mandalorian;Trooper,3,3,3,Ground,0.01,0.15,4.0,0.06,,Normal
549518,Ruthlessness,Ruthlessness,https://tcgplayer-cdn.tcgplayer.com/product/549518_200w.jpg,79,23488,https://cpt.tcgcsv.com/nQp6,2024-07-12T04:03:16.813,1,Rare,143/262,Attached unit gains: “<strong>When this unit attacks and defeats a unit:</strong> Deal 2 damage to the defending player’s base.”,Aggression;Villainy,Upgrade,Innate,1,+2,+0,,0.44,0.73,20.0,0.61,,Normal
549518,Ruthlessness,Ruthlessness,https://tcgplayer-cdn.tcgplayer.com/product/549518_200w.jpg,79,23488,https://cpt.tcgcsv.com/nQp6,2024-07-12T04:03:16.813,1,Rare,143/262,Attached unit gains: “<strong>When this unit attacks and defeats a unit:</strong> Deal 2 damage to the defending player’s base.”,Aggression;Villainy,Upgrade,Innate,1,+2,+0,,0.65,0.97,3.01,0.82,,Foil
549520,Ketsu Onyo - Old Friend,Ketsu Onyo Old Friend,https://tcgplayer-cdn.tcgplayer.com/product/549520_200w.jpg,79,23488,https://cpt.tcgcsv.com/qQp6,2024-07-12T04:03:16.813,1,Uncommon,147/262,"<strong>Saboteur</strong> <em>(When this unit attacks, ignore Sentinel and defeat the defender’s Shields.)</em>
<br>
<strong>When this unit deals combat damage to a base:</strong> You may defeat an upgrade that costs 2 or less.",Aggression;Heroism,Unit,Bounty Hunter;Mandalorian;Underworld,2,3,2,Ground,0.1,0.26,55.0,0.25,,Normal
549520,Ketsu Onyo - Old Friend,Ketsu Onyo Old Friend,https://tcgplayer-cdn.tcgplayer.com/product/549520_200w.jpg,79,23488,https://cpt.tcgcsv.com/qQp6,2024-07-12T04:03:16.813,1,Uncommon,147/262,"<strong>Saboteur</strong> <em>(When this unit attacks, ignore Sentinel and defeat the defender’s Shields.)</em>
<br>
<strong>When this unit deals combat damage to a base:</strong> You may defeat an upgrade that costs 2 or less.",Aggression;Heroism,Unit,Bounty Hunter;Mandalorian;Underworld,2,3,2,Ground,0.22,0.48,5.0,0.31,,Foil
549521,Nite Owl Skirmisher,Nite Owl Skirmisher,https://tcgplayer-cdn.tcgplayer.com/product/549521_200w.jpg,79,23488,https://cpt.tcgcsv.com/rQp6,2024-07-12T04:03:16.813,1,Common,149/262,"<strong>Smuggle [5 [Aggression] [Heroism]]</strong> <em>(If this card is a resource, you may play it for its smuggle cost. Replace it with the top card of your deck.)</em>",Aggression;Heroism,Unit,Mandalorian;Trooper,3,4,3,Ground,0.01,0.15,4.0,0.05,,Normal
549521,Nite Owl Skirmisher,Nite Owl Skirmisher,https://tcgplayer-cdn.tcgplayer.com/product/549521_200w.jpg,79,23488,https://cpt.tcgcsv.com/rQp6,2024-07-12T04:03:16.813,1,Common,149/262,"<strong>Smuggle [5 [Aggression] [Heroism]]</strong> <em>(If this card is a resource, you may play it for its smuggle cost. Replace it with the top card of your deck.)</em>",Aggression;Heroism,Unit,Mandalorian;Trooper,3,4,3,Ground,0.01,0.23,11.5,0.17,,Foil
549523,Koska Reeves - Loyal Nite Owl,Koska Reeves Loyal Nite Owl,https://tcgplayer-cdn.tcgplayer.com/product/549523_200w.jpg,79,23488,https://cpt.tcgcsv.com/tQp6,2024-07-12T04:03:16.813,1,Rare,150/262,"<strong>On Attack:</strong> If this unit is upgraded, you may deal 2 damage to a ground unit.",Aggression;Heroism,Unit,Mandalorian;Trooper,4,4,5,Ground,0.58,1.03,20.0,0.92,,Normal
549523,Koska Reeves - Loyal Nite Owl,Koska Reeves Loyal Nite Owl,https://tcgplayer-cdn.tcgplayer.com/product/549523_200w.jpg,79,23488,https://cpt.tcgcsv.com/tQp6,2024-07-12T04:03:16.813,1,Rare,150/262,"<strong>On Attack:</strong> If this unit is upgraded, you may deal 2 damage to a ground unit.",Aggression;Heroism,Unit,Mandalorian;Trooper,4,4,5,Ground,1.0,1.56,7.0,1.32,,Foil
549524,Cripple Authority,Cripple Authority,https://tcgplayer-cdn.tcgplayer.com/product/549524_200w.jpg,79,23488,https://cpt.tcgcsv.com/vQp6,2024-07-12T04:03:16.813,1,Uncommon,156/262,Draw a card. Each opponent who controls more resources than you discards a card from their hand.,Aggression;Heroism,Event,Trick,2,,,,0.02,0.21,10.0,0.09,,Normal
549524,Cripple Authority,Cripple Authority,https://tcgplayer-cdn.tcgplayer.com/product/549524_200w.jpg,79,23488,https://cpt.tcgcsv.com/vQp6,2024-07-12T04:03:16.813,1,Uncommon,156/262,Draw a card. Each opponent who controls more resources than you discards a card from their hand.,Aggression;Heroism,Event,Trick,2,,,,0.1,0.25,11.5,0.21,,Foil
549525,Clan Challengers,Clan Challengers,https://tcgplayer-cdn.tcgplayer.com/product/549525_200w.jpg,79,23488,https://cpt.tcgcsv.com/wQp6,2024-07-12T04:03:16.813,1,Common,169/262,"<strong>Raid 3</strong> <em>(This unit gets +3/+0 while attacking.)</em>
<br>
While this unit is upgraded, it gains <strong>Overwhelm</strong>. <em>(When attacking an enemy unit, deal excess damage to the opponent’s base.)</em>",Aggression,Unit,Mandalorian;Trooper,5,3,6,Ground,0.01,0.15,4.0,0.05,,Normal
549525,Clan Challengers,Clan Challengers,https://tcgplayer-cdn.tcgplayer.com/product/549525_200w.jpg,79,23488,https://cpt.tcgcsv.com/wQp6,2024-07-12T04:03:16.813,1,Common,169/262,"<strong>Raid 3</strong> <em>(This unit gets +3/+0 while attacking.)</em>
<br>
While this unit is upgraded, it gains <strong>Overwhelm</strong>. <em>(When attacking an enemy unit, deal excess damage to the opponent’s base.)</em>",Aggression,Unit,Mandalorian;Trooper,5,3,6,Ground,0.1,0.25,11.5,0.2,,Foil
549526,IG-11 - I Cannot Be Captured,IG 11 I Cannot Be Captured,https://tcgplayer-cdn.tcgplayer.com/product/549526_200w.jpg,79,23488,https://cpt.tcgcsv.com/xQp6,2024-07-12T04:03:16.813,1,Uncommon,170/262,"If this unit would be captured, defeat him and deal 3 damage to each enemy ground unit instead.
<br>
<strong>On Attack:</strong> You may deal 3 damage to a damaged ground unit.",Aggression,Unit,Bounty Hunter;Droid,5,6,5,Ground,0.15,0.46,11.5,0.41,,Foil
549526,IG-11 - I Cannot Be Captured,IG 11 I Cannot Be Captured,https://tcgplayer-cdn.tcgplayer.com/product/549526_200w.jpg,79,23488,https://cpt.tcgcsv.com/xQp6,2024-07-12T04:03:16.813,1,Uncommon,170/262,"If this unit would be captured, defeat him and deal 3 damage to each enemy ground unit instead.
<br>
<strong>On Attack:</strong> You may deal 3 damage to a damaged ground unit.",Aggression,Unit,Bounty Hunter;Droid,5,6,5,Ground,0.05,0.25,10.0,0.22,,Normal
549528,Covetous Rivals,Covetous Rivals,https://tcgplayer-cdn.tcgplayer.com/product/549528_200w.jpg,79,23488,https://cpt.tcgcsv.com/BQp6,2024-07-12T04:03:16.813,1,Common,171/262,"<strong>Grit</strong> <em>(This unit gets +1/+0 for each damage on it.)</em>
<br>
<strong>When Played/On Attack:</strong> You may deal 2 damage to a unit with a <strong>Bounty</strong>.",Aggression,Unit,Bounty Hunter,6,5,5,Ground,0.01,0.25,11.5,0.15,,Foil
549528,Covetous Rivals,Covetous Rivals,https://tcgplayer-cdn.tcgplayer.com/product/549528_200w.jpg,79,23488,https://cpt.tcgcsv.com/BQp6,2024-07-12T04:03:16.813,1,Common,171/262,"<strong>Grit</strong> <em>(This unit gets +1/+0 for each damage on it.)</em>
<br>
<strong>When Played/On Attack:</strong> You may deal 2 damage to a unit with a <strong>Bounty</strong>.",Aggression,Unit,Bounty Hunter,6,5,5,Ground,0.01,0.12,4.0,0.04,,Normal
549529,Hotshot DL-44 Blaster,Hotshot DL 44 Blaster,https://tcgplayer-cdn.tcgplayer.com/product/549529_200w.jpg,79,23488,https://cpt.tcgcsv.com/CQp6,2024-07-12T04:03:16.813,1,Rare,174/262,"Attach to a non-<strong>VEHICLE</strong> unit.
<br>
<strong>Smuggle [3 [Cunning]]</strong>
<br>
<strong>When played using Smuggle:</strong> Attack with attached unit.",Command,Upgrade,Item;Weapon,1,+2,+0,,3.0,4.5,12.5,3.65,,Foil
549529,Hotshot DL-44 Blaster,Hotshot DL 44 Blaster,https://tcgplayer-cdn.tcgplayer.com/product/549529_200w.jpg,79,23488,https://cpt.tcgcsv.com/CQp6,2024-07-12T04:03:16.813,1,Rare,174/262,"Attach to a non-<strong>VEHICLE</strong> unit.
<br>
<strong>Smuggle [3 [Cunning]]</strong>
<br>
<strong>When played using Smuggle:</strong> Attack with attached unit.",Command,Upgrade,Item;Weapon,1,+2,+0,,1.99,3.84,22.0,2.76,,Normal
549530,Doctor Evazan - Wanted on Twelve Systems,Doctor Evazan Wanted on Twelve Systems,https://tcgplayer-cdn.tcgplayer.com/product/549530_200w.jpg,79,23488,https://cpt.tcgcsv.com/DQp6,2024-07-12T04:03:16.813,1,Rare,185/262,"<strong>Shielded</strong> <em>(When you play this unit, give a Shield token to him.)</em>
<br>
<strong>Bounty</strong> — Ready up to 12 resources. <em>(When this unit is defeated or captured, your opponent collects his bounty.)</em>",Cunning;Villainy,Unit,Underworld,2,3,3,Ground,0.72,1.1,20.0,0.96,,Normal
549530,Doctor Evazan - Wanted on Twelve Systems,Doctor Evazan Wanted on Twelve Systems,https://tcgplayer-cdn.tcgplayer.com/product/549530_200w.jpg,79,23488,https://cpt.tcgcsv.com/DQp6,2024-07-12T04:03:16.813,1,Rare,185/262,"<strong>Shielded</strong> <em>(When you play this unit, give a Shield token to him.)</em>
<br>
<strong>Bounty</strong> — Ready up to 12 resources. <em>(When this unit is defeated or captured, your opponent collects his bounty.)</em>",Cunning;Villainy,Unit,Underworld,2,3,3,Ground,1.0,1.52,3.01,1.48,,Foil
549531,L3-37 - Droid Revolutionary,L3 37 Droid Revolutionary,https://tcgplayer-cdn.tcgplayer.com/product/549531_200w.jpg,79,23488,https://cpt.tcgcsv.com/FQp6,2024-07-12T04:03:16.813,1,Uncommon,197/262,"<strong>When Played:</strong> You may rescue a captured card. If you don’t, give a Shield token to this unit.

<strong>Smuggle [4 [Cunning] [Heroism]] <em>(If this card is a resource, you may play her for her smuggle cost. Replace her with the top card of your deck.)</em>",Cunning;Heroism,Unit,Droid;Underworld,2,2,2,Ground,0.06,0.34,11.5,0.21,,Foil
